ID,Requirement,Specification
REQ_CL_CAPACITY_01,Max 64 slave stations (on each subnet),BAP-C2010ENG-001 5.1.3
REQ_CL_CAPACITY_02,Max one master station (on each subnet),BAP-C2010ENG-001 5.1.3
REQ_CL_CAPACITY_03,Total number of occupied slaves for all groups is 64,BAP-C2010ENG-004 10.3.1.10.2.5.08
REQ_CL_DEPLOYMENT_01,It should be possible to run a master stack and a slave stack in the same binary,PROJECT
REQ_CL_PARAMETERID_01,Same parameterID is used in all groups,BAP-C2010ENG-004 10.3.1.10.2.5.07
REQ_CL_PHY_01,Physical layer is Ethernet (IEE802.3),BAP-C2010ENG-006 4
REQ_CL_PHY_02,Ethernet speed is 100 Mbit/s 100BASE-TX (Optionally 10 Mbit/s and 1000 Mbit/s),BAP-C2010ENG-006 4.1
REQ_CL_PHY_03,Line topology (devices with at least two Ethernet ports and a switch) is optional,BAP-C2010ENG-006 4.1
REQ_CL_PROTOCOL_01,Cyclic data use same format as SLMP in binary mode,BAP-C2010ENG-001 5.1.3
REQ_CL_PROTOCOL_02,"Little endian is used by each element, where element is one point for Rww/Rwr and 16 points for RY/RX.",BAP-C2010ENG-001 5.3.1 a) 1)
REQ_CL_PROTOCOL_03,RequestPDO reserved1 should have value 0x5000,BAP-C2010ENG-004 10.3.1.01
REQ_CL_PROTOCOL_04,RequestPDO reserved2 should have value 0x00,BAP-C2010ENG-004 10.3.1.02
REQ_CL_PROTOCOL_05,RequestPDO reserved3 should have value 0xFF,BAP-C2010ENG-004 10.3.1.03
REQ_CL_PROTOCOL_06,RequestPDO reserved4 should have value 0x03FF,BAP-C2010ENG-004 10.3.1.04
REQ_CL_PROTOCOL_07,RequestPDO reserved5 should have value 0x00,BAP-C2010ENG-004 10.3.1.05
REQ_CL_PROTOCOL_08,RequestPDO dl is the length of the PDU from reserved6,BAP-C2010ENG-004 10.3.1.06
REQ_CL_PROTOCOL_09,RequestPDO reserved6 should have value 0x0000,BAP-C2010ENG-004 10.3.1.07
REQ_CL_PROTOCOL_10,RequestPDO command should have value 0x0E70 and subcommand should have value 0x0000,BAP-C2010ENG-004 10.3.1.08
REQ_CL_PROTOCOL_11,CyclicTransmission reserved1 should have value 0x0000,BAP-C2010ENG-004 10.3.1.10.2.2
REQ_CL_PROTOCOL_12,CyclicTransmission reserved2 should have value 0,BAP-C2010ENG-004 10.3.1.10.2.3.3
REQ_CL_PROTOCOL_13,MasterLocalUnitInfo bit 0 is 0 when master application is stopped and 1 when running,BAP-C2010ENG-004 10.3.1.10.2.4.2.1
REQ_CL_PROTOCOL_14,MasterLocalUnitInfo bit 1 is 0 when stop cause is error and 1 when stop case is user operation. Valid for protocol version 2.,BAP-C2010ENG-004 10.3.1.10.2.4.2.1
REQ_CL_PROTOCOL_15,MasterLocalUnitInfo bit 1 is 0. Valid for protocol version 1.,BAP-C2010ENG-004 10.3.1.10.2.4.2.1
REQ_CL_PROTOCOL_16,MasterLocalUnitInfo bit 2 to 15: Fixed to 0,BAP-C2010ENG-004 10.3.1.10.2.4.2.1
REQ_CL_PROTOCOL_17,MasterNoticeInfo reserved should have value 0x00,BAP-C2010ENG-004 10.3.1.10.2.4.2.2
REQ_CL_PROTOCOL_18,Clockinfo is Unix time with milliseconds,BAP-C2010ENG-004 10.3.1.10.2.4.2.3
REQ_CL_PROTOCOL_19,MasterStationId is the IP address in range 0.0.0.1 to 223.255.255.254,BAP-C2010ENG-004 10.3.1.10.2.5.01
REQ_CL_PROTOCOL_20,Default group number is 1,BAP-C2010ENG-004 10.3.1.10.2.5.02
REQ_CL_PROTOCOL_21,Request contains data only for slaves in a specific group.,BAP-C2010ENG-004 10.3.1.10.2.5.02
REQ_CL_PROTOCOL_22,The group number is 1 to 64,BAP-C2010ENG-004 10.3.1.10.2.5.02
REQ_CL_PROTOCOL_23,CyclicInfo reserved3 value is 0x00,BAP-C2010ENG-004 10.3.1.10.2.5.03
REQ_CL_PROTOCOL_24,"At constant link time, the timeoutValue is the link scan period.",BAP-C2010ENG-004 10.3.1.10.2.5.05
REQ_CL_PROTOCOL_25,Timeout value 0 corresponds to 500 ms,BAP-C2010ENG-004 10.3.1.10.2.5.05
REQ_CL_PROTOCOL_26,Timeout value is in the range 1 to 65535 ms,BAP-C2010ENG-004 10.3.1.10.2.5.05
REQ_CL_PROTOCOL_27,"Without constant link time, the timeoutValue is the cyclic transmission response waiting period.",BAP-C2010ENG-004 10.3.1.10.2.5.05
REQ_CL_PROTOCOL_28,ParallelOffTimeoutCount is in the range 1 to 65535,BAP-C2010ENG-004 10.3.1.10.2.5.06
REQ_CL_PROTOCOL_29,ParallelOffTimeoutCount value 0 corresponds to 3 times,BAP-C2010ENG-004 10.3.1.10.2.5.06
REQ_CL_PROTOCOL_30,SlaveTotalOccupiedStationCount is the total number of slave stations belonging to one group,BAP-C2010ENG-004 10.3.1.10.2.5.08
REQ_CL_PROTOCOL_31,SlaveTotalOccupiedStationCount should be 1 to 16,BAP-C2010ENG-004 10.3.1.10.2.5.08
REQ_CL_PROTOCOL_32,CyclicInfo reserved4 should have value 0x0000,BAP-C2010ENG-004 10.3.1.10.2.5.10
